condition	study_count	taxon_1578	taxon_838	taxon_186803	taxon_816	taxon_1301	taxon_1678	taxon_216851	taxon_1239	taxon_201174	taxon_216572	taxon_976	taxon_1263	taxon_572511	taxon_1224	taxon_375288	taxon_543	taxon_1485	taxon_841	taxon_186802	taxon_239759	taxon_29465	taxon_186801	taxon_171552	taxon_171549	taxon_39948	taxon_848	taxon_239934	taxon_33042	taxon_33958	taxon_91061	taxon_724	taxon_186826	taxon_189330	taxon_200643	taxon_1350	taxon_128827	taxon_1236	taxon_31977	taxon_1654	taxon_186804	taxon_28050	taxon_906	taxon_84107	taxon_1300	taxon_33024	taxon_40544	taxon_31953	taxon_570	taxon_207244	taxon_102106	taxon_91347	taxon_171550	taxon_459786	taxon_872	taxon_1279	taxon_815	taxon_283168	taxon_1506553	taxon_286	taxon_292632	taxon_1716	taxon_1378	taxon_31979	taxon_2005473	taxon_836	taxon_1283313	taxon_1730	taxon_84999	taxon_482	taxon_1940338	taxon_580596	taxon_1501226	taxon_577310	taxon_191303	taxon_171551	taxon_74201	taxon_32207	taxon_574697	taxon_853	taxon_158846	taxon_239935	taxon_1407607	taxon_85004	taxon_1257	taxon_35832	taxon_561	taxon_562	taxon_526525	taxon_577309	taxon_712	taxon_1357	taxon_33038	taxon_194924	taxon_117563	taxon_244127	taxon_469	taxon_32066	taxon_990719	taxon_194	taxon_119852
Parkinson's disease	81	0.30864197530864196	0.2222222222222222	0.4074074074074074	0.1728395061728395	0.18518518518518517	0.2839506172839506	0.32098765432098764	0.2222222222222222	0.1111111111111111	0.2716049382716049	0.07407407407407407	0.14814814814814814	0.2716049382716049	0.1728395061728395	0.18518518518518517	0.14814814814814814	0.18518518518518517	0.3950617283950617	0.13580246913580246	0.19753086419753085	0.09876543209876543	0.1728395061728395	0.14814814814814814	0.07407407407407407	0.012345679012345678	0.012345679012345678	0.32098765432098764	0.14814814814814814	0.19753086419753085	0.06172839506172839	0.08641975308641975	0.06172839506172839	0.1111111111111111	0.09876543209876543	0.12345679012345678	0.09876543209876543	0.08641975308641975	0.08641975308641975	0.04938271604938271	0.07407407407407407	0.14814814814814814	0.06172839506172839	0.12345679012345678	0.13580246913580246	0.08641975308641975	0.08641975308641975	0.13580246913580246	0.08641975308641975	0.09876543209876543	0.12345679012345678	0.024691358024691357	0.14814814814814814	0.08641975308641975	0.13580246913580246	0.024691358024691357	0.07407407407407407	0.13580246913580246	0.04938271604938271	0.0	0.024691358024691357	0.024691358024691357	0.012345679012345678	0.13580246913580246	0.06172839506172839	0.04938271604938271	0.012345679012345678	0.06172839506172839	0.04938271604938271	0.0	0.037037037037037035	0.1111111111111111	0.037037037037037035	0.04938271604938271	0.06172839506172839	0.1111111111111111	0.1728395061728395	0.0	0.19753086419753085	0.13580246913580246	0.024691358024691357	0.09876543209876543	0.1728395061728395	0.037037037037037035	0.0	0.13580246913580246	0.1111111111111111	0.037037037037037035	0.024691358024691357	0.08641975308641975	0.08641975308641975	0.06172839506172839	0.04938271604938271	0.08641975308641975	0.024691358024691357	0.18518518518518517	0.037037037037037035	0.012345679012345678	0.12345679012345678	0.012345679012345678	0.08641975308641975
Colorectal cancer	74	0.16216216216216217	0.22972972972972974	0.2972972972972973	0.20270270270270271	0.22972972972972974	0.14864864864864866	0.17567567567567569	0.17567567567567569	0.12162162162162163	0.16216216216216217	0.10810810810810811	0.16216216216216217	0.20270270270270271	0.13513513513513514	0.17567567567567569	0.12162162162162163	0.20270270270270271	0.22972972972972974	0.13513513513513514	0.10810810810810811	0.16216216216216217	0.17567567567567569	0.12162162162162163	0.10810810810810811	0.10810810810810811	0.3918918918918919	0.0945945945945946	0.17567567567567569	0.0945945945945946	0.10810810810810811	0.08108108108108109	0.0945945945945946	0.14864864864864866	0.10810810810810811	0.08108108108108109	0.17567567567567569	0.08108108108108109	0.06756756756756757	0.13513513513513514	0.05405405405405406	0.14864864864864866	0.05405405405405406	0.013513513513513514	0.06756756756756757	0.17567567567567569	0.06756756756756757	0.04054054054054054	0.06756756756756757	0.12162162162162163	0.10810810810810811	0.06756756756756757	0.12162162162162163	0.12162162162162163	0.08108108108108109	0.13513513513513514	0.04054054054054054	0.12162162162162163	0.05405405405405406	0.13513513513513514	0.0945945945945946	0.10810810810810811	0.16216216216216217	0.08108108108108109	0.013513513513513514	0.22972972972972974	0.04054054054054054	0.17567567567567569	0.02702702702702703	0.0945945945945946	0.10810810810810811	0.06756756756756757	0.06756756756756757	0.13513513513513514	0.08108108108108109	0.12162162162162163	0.06756756756756757	0.05405405405405406	0.08108108108108109	0.14864864864864866	0.12162162162162163	0.08108108108108109	0.04054054054054054	0.04054054054054054	0.2972972972972973	0.08108108108108109	0.05405405405405406	0.08108108108108109	0.06756756756756757	0.08108108108108109	0.05405405405405406	0.02702702702702703	0.0945945945945946	0.04054054054054054	0.06756756756756757	0.08108108108108109	0.04054054054054054	0.12162162162162163	0.08108108108108109	0.05405405405405406	0.08108108108108109
Obesity	64	0.171875	0.265625	0.1875	0.296875	0.140625	0.140625	0.21875	0.15625	0.125	0.125	0.140625	0.171875	0.125	0.109375	0.140625	0.109375	0.140625	0.09375	0.140625	0.21875	0.078125	0.125	0.140625	0.078125	0.078125	0.09375	0.046875	0.15625	0.09375	0.109375	0.09375	0.09375	0.109375	0.046875	0.015625	0.09375	0.0625	0.109375	0.015625	0.078125	0.171875	0.109375	0.109375	0.0625	0.125	0.109375	0.0625	0.046875	0.078125	0.125	0.046875	0.1875	0.140625	0.140625	0.03125	0.125	0.109375	0.046875	0.015625	0.078125	0.03125	0.03125	0.15625	0.03125	0.03125	0.0625	0.046875	0.0625	0.015625	0.0	0.015625	0.0625	0.015625	0.0625	0.09375	0.046875	0.015625	0.078125	0.265625	0.078125	0.140625	0.0	0.03125	0.015625	0.078125	0.015625	0.0625	0.0625	0.03125	0.0625	0.015625	0.109375	0.078125	0.046875	0.109375	0.015625	0.109375	0.140625	0.03125	0.125
Diet	53	0.2641509433962264	0.24528301886792453	0.2641509433962264	0.33962264150943394	0.18867924528301888	0.3018867924528302	0.3018867924528302	0.2641509433962264	0.16981132075471697	0.20754716981132076	0.22641509433962265	0.22641509433962265	0.2830188679245283	0.07547169811320754	0.16981132075471697	0.1509433962264151	0.32075471698113206	0.1509433962264151	0.16981132075471697	0.1509433962264151	0.1320754716981132	0.11320754716981132	0.1320754716981132	0.1320754716981132	0.09433962264150944	0.16981132075471697	0.05660377358490566	0.22641509433962265	0.1320754716981132	0.09433962264150944	0.03773584905660377	0.11320754716981132	0.09433962264150944	0.07547169811320754	0.11320754716981132	0.09433962264150944	0.05660377358490566	0.1509433962264151	0.05660377358490566	0.20754716981132076	0.1509433962264151	0.05660377358490566	0.11320754716981132	0.07547169811320754	0.11320754716981132	0.16981132075471697	0.07547169811320754	0.09433962264150944	0.09433962264150944	0.09433962264150944	0.03773584905660377	0.09433962264150944	0.09433962264150944	0.07547169811320754	0.07547169811320754	0.07547169811320754	0.11320754716981132	0.09433962264150944	0.018867924528301886	0.03773584905660377	0.0	0.03773584905660377	0.18867924528301888	0.03773584905660377	0.018867924528301886	0.03773584905660377	0.07547169811320754	0.05660377358490566	0.018867924528301886	0.03773584905660377	0.05660377358490566	0.03773584905660377	0.03773584905660377	0.03773584905660377	0.07547169811320754	0.018867924528301886	0.03773584905660377	0.09433962264150944	0.11320754716981132	0.05660377358490566	0.03773584905660377	0.05660377358490566	0.018867924528301886	0.05660377358490566	0.03773584905660377	0.05660377358490566	0.07547169811320754	0.018867924528301886	0.03773584905660377	0.07547169811320754	0.1509433962264151	0.1320754716981132	0.09433962264150944	0.05660377358490566	0.018867924528301886	0.03773584905660377	0.0	0.07547169811320754	0.03773584905660377	0.1320754716981132
COVID-19	50	0.14	0.34	0.18	0.14	0.36	0.18	0.3	0.08	0.12	0.14	0.16	0.26	0.2	0.12	0.18	0.14	0.16	0.2	0.04	0.1	0.3	0.04	0.08	0.04	0.08	0.18	0.06	0.14	0.08	0.08	0.22	0.04	0.16	0.04	0.22	0.06	0.04	0.12	0.18	0.06	0.12	0.14	0.1	0.06	0.1	0.12	0.1	0.14	0.22	0.14	0.04	0.1	0.04	0.04	0.1	0.04	0.08	0.06	0.14	0.1	0.16	0.12	0.08	0.0	0.18	0.14	0.04	0.04	0.22	0.02	0.1	0.08	0.08	0.08	0.06	0.04	0.24	0.06	0.18	0.02	0.04	0.1	0.04	0.04	0.08	0.16	0.04	0.04	0.04	0.04	0.08	0.1	0.04	0.16	0.02	0.14	0.06	0.02	0.2	0.06
Type II diabetes mellitus	35	0.17142857142857143	0.2	0.11428571428571428	0.14285714285714285	0.22857142857142856	0.2	0.17142857142857143	0.3142857142857143	0.2	0.08571428571428572	0.17142857142857143	0.14285714285714285	0.14285714285714285	0.22857142857142856	0.11428571428571428	0.08571428571428572	0.17142857142857143	0.2	0.05714285714285714	0.11428571428571428	0.17142857142857143	0.08571428571428572	0.11428571428571428	0.08571428571428572	0.17142857142857143	0.08571428571428572	0.11428571428571428	0.14285714285714285	0.05714285714285714	0.11428571428571428	0.08571428571428572	0.05714285714285714	0.17142857142857143	0.11428571428571428	0.05714285714285714	0.08571428571428572	0.05714285714285714	0.11428571428571428	0.11428571428571428	0.14285714285714285	0.11428571428571428	0.14285714285714285	0.08571428571428572	0.05714285714285714	0.08571428571428572	0.2	0.08571428571428572	0.08571428571428572	0.08571428571428572	0.14285714285714285	0.05714285714285714	0.08571428571428572	0.08571428571428572	0.05714285714285714	0.02857142857142857	0.05714285714285714	0.05714285714285714	0.11428571428571428	0.05714285714285714	0.11428571428571428	0.0	0.11428571428571428	0.11428571428571428	0.02857142857142857	0.11428571428571428	0.11428571428571428	0.05714285714285714	0.02857142857142857	0.08571428571428572	0.11428571428571428	0.02857142857142857	0.08571428571428572	0.02857142857142857	0.11428571428571428	0.02857142857142857	0.08571428571428572	0.05714285714285714	0.08571428571428572	0.17142857142857143	0.05714285714285714	0.02857142857142857	0.08571428571428572	0.02857142857142857	0.02857142857142857	0.02857142857142857	0.08571428571428572	0.08571428571428572	0.02857142857142857	0.05714285714285714	0.02857142857142857	0.02857142857142857	0.05714285714285714	0.0	0.05714285714285714	0.02857142857142857	0.05714285714285714	0.08571428571428572	0.0	0.05714285714285714	0.02857142857142857
HIV infection	34	0.14705882352941177	0.5294117647058824	0.3235294117647059	0.35294117647058826	0.23529411764705882	0.23529411764705882	0.3235294117647059	0.2647058823529412	0.11764705882352941	0.11764705882352941	0.17647058823529413	0.14705882352941177	0.20588235294117646	0.14705882352941177	0.14705882352941177	0.17647058823529413	0.2647058823529412	0.11764705882352941	0.17647058823529413	0.17647058823529413	0.23529411764705882	0.17647058823529413	0.23529411764705882	0.14705882352941177	0.17647058823529413	0.23529411764705882	0.058823529411764705	0.14705882352941177	0.08823529411764706	0.08823529411764706	0.14705882352941177	0.058823529411764705	0.20588235294117646	0.058823529411764705	0.11764705882352941	0.11764705882352941	0.11764705882352941	0.14705882352941177	0.11764705882352941	0.08823529411764706	0.08823529411764706	0.14705882352941177	0.11764705882352941	0.058823529411764705	0.08823529411764706	0.08823529411764706	0.058823529411764705	0.0	0.14705882352941177	0.11764705882352941	0.08823529411764706	0.17647058823529413	0.08823529411764706	0.08823529411764706	0.08823529411764706	0.14705882352941177	0.058823529411764705	0.11764705882352941	0.029411764705882353	0.11764705882352941	0.029411764705882353	0.029411764705882353	0.11764705882352941	0.0	0.11764705882352941	0.08823529411764706	0.08823529411764706	0.08823529411764706	0.029411764705882353	0.029411764705882353	0.058823529411764705	0.08823529411764706	0.058823529411764705	0.08823529411764706	0.058823529411764705	0.0	0.058823529411764705	0.0	0.17647058823529413	0.20588235294117646	0.029411764705882353	0.08823529411764706	0.029411764705882353	0.11764705882352941	0.058823529411764705	0.08823529411764706	0.029411764705882353	0.058823529411764705	0.08823529411764706	0.058823529411764705	0.029411764705882353	0.08823529411764706	0.029411764705882353	0.11764705882352941	0.029411764705882353	0.058823529411764705	0.08823529411764706	0.029411764705882353	0.058823529411764705	0.14705882352941177
Irritable bowel syndrome	32	0.15625	0.21875	0.15625	0.1875	0.1875	0.3125	0.34375	0.125	0.0625	0.0625	0.0625	0.21875	0.15625	0.125	0.15625	0.3125	0.0625	0.21875	0.0	0.09375	0.21875	0.125	0.15625	0.0625	0.0625	0.0	0.09375	0.125	0.03125	0.09375	0.09375	0.09375	0.0625	0.03125	0.0625	0.09375	0.09375	0.0	0.0625	0.09375	0.09375	0.03125	0.03125	0.0625	0.0	0.0625	0.09375	0.03125	0.0625	0.03125	0.09375	0.0625	0.09375	0.03125	0.03125	0.09375	0.125	0.0	0.0625	0.03125	0.15625	0.0625	0.03125	0.03125	0.0625	0.03125	0.0625	0.03125	0.03125	0.0625	0.03125	0.0	0.03125	0.03125	0.0625	0.09375	0.03125	0.03125	0.03125	0.0	0.03125	0.03125	0.0	0.03125	0.03125	0.03125	0.09375	0.03125	0.03125	0.03125	0.03125	0.0625	0.03125	0.0	0.03125	0.0625	0.0	0.09375	0.09375	0.09375
Polycystic ovary syndrome	31	0.3548387096774194	0.12903225806451613	0.2903225806451613	0.3870967741935484	0.12903225806451613	0.22580645161290322	0.1935483870967742	0.25806451612903225	0.1935483870967742	0.3548387096774194	0.22580645161290322	0.22580645161290322	0.3548387096774194	0.22580645161290322	0.2903225806451613	0.0967741935483871	0.22580645161290322	0.1935483870967742	0.3548387096774194	0.3225806451612903	0.0	0.25806451612903225	0.16129032258064516	0.2903225806451613	0.16129032258064516	0.1935483870967742	0.06451612903225806	0.12903225806451613	0.16129032258064516	0.12903225806451613	0.0	0.1935483870967742	0.0967741935483871	0.22580645161290322	0.0967741935483871	0.22580645161290322	0.25806451612903225	0.0967741935483871	0.0967741935483871	0.22580645161290322	0.22580645161290322	0.06451612903225806	0.03225806451612903	0.06451612903225806	0.0967741935483871	0.16129032258064516	0.12903225806451613	0.16129032258064516	0.06451612903225806	0.06451612903225806	0.06451612903225806	0.12903225806451613	0.0967741935483871	0.16129032258064516	0.06451612903225806	0.22580645161290322	0.16129032258064516	0.1935483870967742	0.12903225806451613	0.0967741935483871	0.03225806451612903	0.0	0.0967741935483871	0.22580645161290322	0.03225806451612903	0.1935483870967742	0.06451612903225806	0.0967741935483871	0.0	0.06451612903225806	0.1935483870967742	0.16129032258064516	0.1935483870967742	0.16129032258064516	0.03225806451612903	0.0	0.03225806451612903	0.12903225806451613	0.06451612903225806	0.12903225806451613	0.03225806451612903	0.03225806451612903	0.12903225806451613	0.03225806451612903	0.06451612903225806	0.06451612903225806	0.06451612903225806	0.12903225806451613	0.0967741935483871	0.03225806451612903	0.03225806451612903	0.06451612903225806	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.0967741935483871	0.12903225806451613	0.0	0.03225806451612903
Periodontitis	29	0.13793103448275862	0.3103448275862069	0.10344827586206896	0.13793103448275862	0.3448275862068966	0.10344827586206896	0.034482758620689655	0.10344827586206896	0.20689655172413793	0.10344827586206896	0.1724137931034483	0.06896551724137931	0.034482758620689655	0.13793103448275862	0.034482758620689655	0.06896551724137931	0.06896551724137931	0.13793103448275862	0.06896551724137931	0.06896551724137931	0.1724137931034483	0.1724137931034483	0.13793103448275862	0.1724137931034483	0.1724137931034483	0.27586206896551724	0.06896551724137931	0.10344827586206896	0.06896551724137931	0.10344827586206896	0.13793103448275862	0.13793103448275862	0.034482758620689655	0.1724137931034483	0.034482758620689655	0.06896551724137931	0.10344827586206896	0.13793103448275862	0.20689655172413793	0.1724137931034483	0.034482758620689655	0.06896551724137931	0.06896551724137931	0.13793103448275862	0.0	0.06896551724137931	0.034482758620689655	0.0	0.034482758620689655	0.06896551724137931	0.034482758620689655	0.06896551724137931	0.10344827586206896	0.13793103448275862	0.10344827586206896	0.034482758620689655	0.1724137931034483	0.034482758620689655	0.034482758620689655	0.06896551724137931	0.13793103448275862	0.20689655172413793	0.034482758620689655	0.10344827586206896	0.3448275862068966	0.1724137931034483	0.06896551724137931	0.10344827586206896	0.20689655172413793	0.0	0.10344827586206896	0.06896551724137931	0.06896551724137931	0.10344827586206896	0.10344827586206896	0.034482758620689655	0.27586206896551724	0.034482758620689655	0.06896551724137931	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.034482758620689655	0.27586206896551724	0.034482758620689655	0.0	0.034482758620689655	0.06896551724137931	0.06896551724137931	0.13793103448275862	0.06896551724137931	0.0	0.06896551724137931	0.1724137931034483	0.0	0.10344827586206896	0.1724137931034483	0.034482758620689655	0.27586206896551724	0.0
Response to transplant	29	0.3448275862068966	0.13793103448275862	0.41379310344827586	0.4827586206896552	0.3448275862068966	0.13793103448275862	0.3103448275862069	0.27586206896551724	0.2413793103448276	0.3448275862068966	0.3793103448275862	0.3793103448275862	0.3103448275862069	0.27586206896551724	0.2413793103448276	0.2413793103448276	0.3448275862068966	0.3103448275862069	0.2413793103448276	0.27586206896551724	0.06896551724137931	0.2413793103448276	0.2413793103448276	0.27586206896551724	0.10344827586206896	0.06896551724137931	0.27586206896551724	0.10344827586206896	0.3448275862068966	0.2413793103448276	0.034482758620689655	0.2413793103448276	0.20689655172413793	0.27586206896551724	0.13793103448275862	0.1724137931034483	0.3103448275862069	0.06896551724137931	0.06896551724137931	0.1724137931034483	0.06896551724137931	0.0	0.20689655172413793	0.2413793103448276	0.10344827586206896	0.13793103448275862	0.10344827586206896	0.13793103448275862	0.1724137931034483	0.1724137931034483	0.20689655172413793	0.20689655172413793	0.13793103448275862	0.2413793103448276	0.10344827586206896	0.3103448275862069	0.10344827586206896	0.1724137931034483	0.10344827586206896	0.10344827586206896	0.06896551724137931	0.10344827586206896	0.1724137931034483	0.2413793103448276	0.034482758620689655	0.1724137931034483	0.20689655172413793	0.1724137931034483	0.06896551724137931	0.13793103448275862	0.1724137931034483	0.27586206896551724	0.13793103448275862	0.1724137931034483	0.10344827586206896	0.1724137931034483	0.06896551724137931	0.13793103448275862	0.0	0.034482758620689655	0.1724137931034483	0.13793103448275862	0.10344827586206896	0.06896551724137931	0.2413793103448276	0.06896551724137931	0.1724137931034483	0.1724137931034483	0.13793103448275862	0.0	0.1724137931034483	0.13793103448275862	0.1724137931034483	0.034482758620689655	0.2413793103448276	0.06896551724137931	0.10344827586206896	0.06896551724137931	0.034482758620689655	0.10344827586206896
Pulmonary tuberculosis	28	0.03571428571428571	0.25	0.17857142857142858	0.17857142857142858	0.21428571428571427	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.07142857142857142	0.0	0.07142857142857142	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.0	0.21428571428571427	0.07142857142857142	0.10714285714285714	0.0	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.10714285714285714	0.07142857142857142	0.10714285714285714	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.0	0.10714285714285714	0.07142857142857142	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.14285714285714285	0.10714285714285714	0.10714285714285714	0.07142857142857142	0.10714285714285714	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.10714285714285714	0.07142857142857142	0.03571428571428571	0.03571428571428571	0.07142857142857142	0.17857142857142858	0.10714285714285714	0.10714285714285714	0.03571428571428571	0.03571428571428571	0.0	0.0	0.03571428571428571	0.03571428571428571	0.0	0.03571428571428571	0.07142857142857142	0.14285714285714285	0.10714285714285714	0.0	0.07142857142857142	0.07142857142857142	0.0	0.14285714285714285	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.10714285714285714	0.0	0.03571428571428571	0.03571428571428571	0.0	0.03571428571428571	0.0	0.0	0.0	0.03571428571428571	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.03571428571428571	0.03571428571428571	0.0	0.03571428571428571	0.03571428571428571	0.10714285714285714	0.03571428571428571	0.0	0.0	0.0	0.07142857142857142	0.07142857142857142	0.0	0.07142857142857142	0.03571428571428571	0.03571428571428571	0.0	0.0
